Id,Creation Time,Owner,Tags,a_tilde_ideal,a_tilde_ideal_std,a_tilde_real,a_tilde_real_std,VAL_RMSE (real),NTrees (real) (last)
JBDT-34,2021-09-10 22:39:19,arsde,"[""16 opt features"",""xgb"",""5M"",""MSE""]",2.823254926609533,0.03315978918638296,2.914366689780131,0.015737795306834543,0.081038,588.0
JBDT-32,2021-09-08 14:50:27,arsde,"[""xgb"",""16 opt features"",""MSE"",""5M""]",2.8166052670945927,0.031143597039455743,2.924559710879571,0.020516278713929213,0.081041,757.0
JBDT-29,2021-09-08 03:22:01,arsde,"[""5M"",""xgb"",""MSE"",""15 opt features""]",2.8110514407424136,0.032066660940822264,2.9369445691909135,0.0190817840077455,0.081126,710.0
JBDT-28,2021-09-08 01:16:46,arsde,"[""MSE"",""14 opt features"",""xgb"",""5M""]",2.808947710442471,0.030228792163885815,2.9500129868358207,0.01298573507091218,0.081114,707.0
JBDT-25,2021-09-07 20:57:04,arsde,"[""13 opt features"",""5M"",""MSE"",""xgb""]",2.810578054422257,0.02990926436310855,2.939649514079017,0.014035609108952938,0.081185,789.0
JBDT-23,2021-09-07 19:12:10,arsde,"[""5M"",""xgb"",""MSE"",""12 opt features""]",2.810584962356591,0.03041560454881141,2.937466630023225,0.015347236826927764,0.08123,725.0
JBDT-22,2021-09-07 17:37:30,arsde,"[""5M"",""xgb"",""11 opt features"",""MSE""]",2.8133179059608606,0.028536773011110166,2.9423662943284272,0.01690136604737041,0.081551,692.0
JBDT-21,2021-09-07 15:45:52,arsde,"[""xgb"",""MSE"",""5M"",""10 opt features""]",2.8231629302300285,0.029248396421597347,2.9542370267126503,0.011733537926077823,0.081622,759.0
JBDT-20,2021-09-07 14:02:43,arsde,"[""MSE"",""9 opt features"",""xgb"",""5M""]",2.848979293646235,0.028219318112260687,2.9726011572358644,0.014322886597327703,0.081839,883.0
JBDT-17,2021-09-07 02:37:24,arsde,"[""MSE"",""8 opt features"",""xgb"",""5M""]",2.854273399768319,0.023331289863368698,2.9904284485044945,0.0179292302101674,0.08191,711.0
JBDT-14,2021-09-06 23:27:45,arsde,"[""5M"",""MSE"",""xgb"",""7 opt features""]",2.866579008155889,0.025427931358009706,2.9963922844814563,0.0195402184521227,0.082344,656.0
JBDT-12,2021-09-06 14:27:21,arsde,"[""6 opt features"",""xgb"",""MSE"",""5M""]",2.8652506037866914,0.030095687578816834,2.9967352052900837,0.01605661618263841,0.082379,708.0
JBDT-11,2021-09-06 12:56:46,arsde,"[""5M"",""xgb"",""MSE"",""5 opt features""]",2.8559801383456787,0.025894118371971503,3.0650306891815946,0.017346130487632384,0.082727,568.0
JBDT-6,2021-09-02 02:21:14,arsde,"[""MSE"",""all features"",""5M"",""xgb"",""opt hp""]",2.8817982233320913,,2.9513909669848895,,0.081233,3433.0
JBDT-5,2021-09-01 21:28:05,arsde,"[""xgb"",""hp optim""]",,,,,,
JBDT-4,2021-08-31 12:04:44,arsde,"[""xgb"",""5M"",""MSE"",""all features""]",2.816741962023678,0.03312345419125533,2.925164443668082,0.017702546092710773,0.080723,699.0
JBDT-2,2021-08-31 00:07:41,arsde,"[""MSE"",""5M"",""lgbm"",""all features""]",2.918723,,2.98434,,,
JBDT-1,2021-08-30 21:25:52,arsde,"[""all features"",""MAPE"",""lgbm"",""5M""]",2.9725,,3.04589,,,
