,model,opt,energy,res,bias,res_err,bias_err
1,bdt,23,0.1,0.028317637295411265,-0.00021498405398848056,0.0002579162519745573,0.0002579161113442894
6,bdt,23,0.3,0.025413201060901405,0.001266217737382857,0.00022928535511498283,0.00022928534810714296
11,bdt,23,0.6,0.0219409664100923,0.0007109088280344112,0.00014720157529985142,0.0001472015748248071
16,bdt,23,1.0,0.019752570730854218,0.0008793796909174364,0.00013948843198410718,0.00013948843350325017
21,bdt,23,2.0,0.016303306212393263,0.0001678692751327261,7.862776705865595e-05,7.862772636290378e-05
26,bdt,23,3.0,0.014564255135753695,0.0002817143910958529,8.822995879602601e-05,8.822997074715635e-05
31,bdt,23,4.0,0.013467375240449062,0.00040034185693747743,6.468971560389175e-05,6.468970435536138e-05
36,bdt,23,5.0,0.012465928764421045,0.0003640780808352414,7.520344690223251e-05,7.520345763624822e-05
41,bdt,23,6.0,0.011792245724760576,0.000649897378246666,9.293462096778472e-05,9.293462010503812e-05
46,bdt,23,7.0,0.011152843499848249,0.0005395485928141575,5.181646878688416e-05,5.181647097121135e-05
51,bdt,23,8.0,0.010853887418325384,0.0005806998485540329,6.247215336339911e-05,6.247215938436772e-05
56,bdt,23,9.0,0.010386619510754447,0.0005724223760343011,6.406672289718197e-05,6.406672631991841e-05
